"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","SYMBOL"
"ENSG00000000005",57.385500676292,-4.09837373059516,0.432606180188902,-9.47368280500652,2.70147383335411e-21,2.40153622487006e-19,"64102","TNMD"
"ENSG00000000971",1054.90284142853,-1.21111727374894,0.270355032690525,-4.47972897599176,7.47378765841432e-06,4.33921494554708e-05,"3075","CFH"
"ENSG00000001626",14.9293561552928,-1.32493127723065,0.503761931710878,-2.63007423512713,0.00853662249425795,0.0219987736231458,"1080","CFTR"
"ENSG00000003096",126.955627621215,-1.6016404829033,0.323709734263522,-4.9477674390831,7.5069522834802e-07,5.37263488763659e-06,"90293","KLHL13"
"ENSG00000003137",152.464257856514,-2.73207971267928,0.314473835990821,-8.68778066725726,3.69588467504245e-18,2.09929484452411e-16,"56603","CYP26B1"
"ENSG00000003400",198.73534636599,-1.01287517501743,0.161015006830404,-6.29056381113773,3.16314988771182e-10,4.52142317099248e-09,"843","CASP10"
"ENSG00000003436",614.620781915208,-1.74766076312547,0.229718730785363,-7.60782874409308,2.78738839649659e-14,8.4625763738314e-13,"7035","TFPI"
"ENSG00000004399",1429.10134882213,-1.0044666506461,0.154276262816708,-6.51083084530949,7.47362669975447e-11,1.20872524530982e-09,"23129","PLXND1"
"ENSG00000004478",819.30445240655,1.16440900672248,0.19104778020942,6.09485755577006,1.09534942596229e-09,1.42094354818236e-08,"2288","FKBP4"
"ENSG00000004776",277.640182109503,-2.93108528664078,0.324790405359136,-9.0245439467331,1.80445388271612e-19,1.25063555551197e-17,"126393","HSPB6"
"ENSG00000004799",3934.70995258524,-2.96711199750986,0.29267027651523,-10.1380708449068,3.74420560541977e-24,5.46022972502733e-22,"5166","PDK4"
"ENSG00000004838",80.8817811392904,1.38107809451748,0.211855047262535,6.51897659443546,7.07886976513113e-11,1.15278106250486e-09,"51364","ZMYND10"
"ENSG00000004846",46.6384272367837,-1.6027252312984,0.306037875778832,-5.23701593216084,1.63193610193227e-07,1.35514386864869e-06,"340273","ABCB5"
"ENSG00000004939",11.3900267034688,-1.58428169772908,0.463375382169444,-3.41900273232416,0.000628510953286009,0.00224784890126732,"6521","SLC4A1"
"ENSG00000005001",46.0115095910528,2.24110583469689,0.400980326388337,5.58906681253594,2.28293110875338e-08,2.27399561477438e-07,"64063","PRSS22"
"ENSG00000005020",429.040082560576,-1.01239526870738,0.166240499294862,-6.08994362385599,1.12950455503729e-09,1.46014338842919e-08,"8935","SKAP2"
"ENSG00000005102",148.256594852066,-2.88787263944215,0.28305308307128,-10.2025832331772,1.93067808487902e-24,3.0009905225922e-22,"4222","MEOX1"
"ENSG00000005108",175.467405383801,-1.21752694778388,0.228274239048461,-5.33361518522202,9.62764430488146e-08,8.40613490972462e-07,"221981","THSD7A"
