GO_ID,Name,Namespace,Enrichment,Study_Count,Study_Total,Population_Count,Population_Total,P_Value,FDR
GO:0005886,plasma membrane,CC,e,1196,3765,4446,20413,1.0707232556200216e-56,2.1942331677421104e-52
GO:0016070,RNA metabolic process,BP,p,50,3765,1195,20413,1.1439027100916229e-51,1.1720999118953815e-47
GO:0090304,nucleic acid metabolic process,BP,p,123,3765,1742,20413,3.05374644739909e-45,2.0860141982183182e-41
GO:0006396,RNA processing,BP,p,20,3765,789,20413,5.636569383871135e-45,2.8877554095917797e-41
GO:0043170,macromolecule metabolic process,BP,p,496,3765,4325,20413,6.795224233892718e-44,2.785090604503269e-40
GO:0006139,nucleobase-containing compound metabolic process,BP,p,198,3765,2255,20413,1.2741131411631628e-41,4.351733433642783e-38
GO:0003723,RNA binding,MF,p,111,3765,1578,20413,4.1336567441407525e-41,1.2101575379668064e-37
GO:1902494,catalytic complex,CC,p,151,3765,1847,20413,1.744332385713411e-38,4.4683254475531166e-35
GO:0005576,extracellular region,CC,e,648,3765,2241,20413,6.904309775581543e-38,1.572111335899917e-34
GO:0032501,multicellular organismal process,BP,e,656,3765,2308,20413,8.204738576844857e-36,1.6813970765528162e-32
GO:0043231,intracellular membrane-bounded organelle,CC,p,1408,3765,9492,20413,1.278820812898524e-35,2.3824431744299504e-32
GO:0032502,developmental process,BP,e,933,3765,3585,20413,1.5701033990910804e-35,2.6813440797977924e-32
GO:0160108,animal gross anatomical part developmental process,BP,e,539,3765,1823,20413,6.785439268148759e-34,1.0696462070936347e-30
GO:0060089,molecular transducer activity,MF,e,338,3765,1008,20413,8.359416600290268e-32,1.1420634959316562e-28
GO:0038023,signaling receptor activity,MF,e,338,3765,1008,20413,8.359416600290268e-32,1.1420634959316562e-28
GO:0140513,nuclear protein-containing complex,CC,p,101,3765,1339,20413,2.0146246052798685e-31,2.580356377250022e-28
GO:1990904,ribonucleoprotein complex,CC,p,28,3765,699,20413,4.214682127753248e-31,5.0806753437674875e-28
GO:0048856,anatomical structure development,BP,e,599,3765,2131,20413,6.178637568868261e-31,7.034378872156513e-28
GO:0043229,intracellular organelle,CC,p,1612,3765,10469,20413,1.03846427639532e-30,1.1200657061141732e-27
GO:0044238,primary metabolic process,BP,p,771,3765,5692,20413,1.654063785417919e-30,1.694836457728471e-27
GO:0140535,intracellular protein-containing complex,CC,p,55,3765,936,20413,3.8063705510903255e-30,3.714473890642573e-27
GO:0005654,nucleoplasm,CC,p,414,3765,3464,20413,1.804779990542476e-29,1.6811525611903163e-26
GO:0003676,nucleic acid binding,MF,p,413,3765,3453,20413,2.6840172831360786e-29,2.3914593992742462e-26
GO:0005634,nucleus,CC,p,806,3765,5850,20413,9.691522579097527e-29,8.275348842226903e-26
GO:0008152,metabolic process,BP,p,893,3765,6353,20413,1.6790573532652847e-28,1.376356893618619e-25
GO:0140098,"catalytic activity, acting on RNA",MF,p,8,3765,421,20413,6.940323183358049e-27,5.267705296168759e-24
GO:0004888,transmembrane signaling receptor activity,MF,e,257,3765,749,20413,7.423814719610226e-26,5.433436966034727e-23
GO:0016071,mRNA metabolic process,BP,p,16,3765,495,20413,3.0103252503376483e-25,2.0563531785056477e-22
GO:0043412,macromolecule modification,BP,p,147,3765,1536,20413,1.6256521900981418e-23,1.041077822865038e-20
GO:0007155,cell adhesion,BP,e,249,3765,743,20413,1.6117616521169396e-23,1.041077822865038e-20
GO:0098590,plasma membrane region,CC,e,368,3765,1238,20413,2.2879189146544028e-23,1.4207976460003843e-20
GO:0140640,"catalytic activity, acting on a nucleic acid",MF,p,36,3765,655,20413,1.080813178735387e-22,6.514442491713024e-20
GO:0007165,signal transduction,BP,e,875,3765,3602,20413,3.4403527696909523e-22,2.0143756945507624e-19
GO:0006397,mRNA processing,BP,p,5,3765,322,20413,5.608412559173072e-22,3.1925888493092714e-19
GO:1990234,transferase complex,CC,p,71,3765,936,20413,7.523460640972022e-22,4.1669805112280983e-19
GO:0043687,post-translational protein modification,BP,p,52,3765,764,20413,8.383342182241968e-21,4.5210481931759115e-18
GO:0070647,protein modification by small protein conjugation or removal,BP,p,47,3765,715,20413,1.9939248856715726e-20,1.0477308380017318e-17
GO:0051239,regulation of multicellular organismal process,BP,e,628,3765,2467,20413,2.767800771104046e-20,1.4180135300558803e-17
GO:0003008,system process,BP,e,317,3765,1066,20413,3.2941533865637414e-20,1.6465142768500182e-17
GO:0009653,anatomical structure morphogenesis,BP,e,277,3765,899,20413,5.063501446787544e-20,2.4706270273575512e-17
GO:0005102,signaling receptor binding,MF,e,340,3765,1168,20413,6.776727328474107e-20,3.229662166102788e-17
GO:0010496,intercellular transport,BP,p,49,3765,716,20413,2.1785115627836945e-19,1.0146417603665056e-16
GO:0032991,protein-containing complex,CC,p,815,3765,5587,20413,6.826737931603357e-19,3.1088964540521687e-16
GO:0009057,macromolecule catabolic process,BP,p,92,3765,1029,20413,3.4444306836663393e-18,1.534493869573354e-15
GO:0043227,membrane-bounded organelle,CC,p,1728,3765,10674,20413,3.9249912982902116e-18,1.7113797165076874e-15
GO:0046907,intracellular transport,BP,p,109,3765,1151,20413,4.2912454691465076e-18,1.8320936124837367e-15
GO:0009888,tissue development,BP,e,153,3765,425,20413,4.993842361254182e-18,2.0885471736567743e-15
GO:0048513,animal organ development,BP,e,249,3765,810,20413,5.5490569829388116e-18,2.274336495027301e-15
GO:0032446,protein modification by small protein conjugation,BP,p,43,3765,628,20413,3.675995054233653e-17,1.4771013067923578e-14
GO:0016020,membrane,CC,e,1707,3765,8015,20413,4.5610066337972243e-17,1.7974751720462794e-14
GO:0098609,cell-cell adhesion,BP,e,170,3765,500,20413,5.324779948517045e-17,2.0588814242445244e-14
GO:2000026,regulation of multicellular organismal development,BP,e,324,3765,1146,20413,5.712895872366853e-17,2.168043983563221e-14
GO:0007166,cell surface receptor signaling pathway,BP,e,410,3765,1531,20413,5.925053339288488e-17,2.2076748742188904e-14
GO:0050793,regulation of developmental process,BP,e,494,3765,1921,20413,1.1675457086780408e-16,4.2725918228462664e-14
GO:0005509,calcium ion binding,MF,e,205,3765,646,20413,1.571758904237475e-16,5.6508868814979975e-14
GO:0048869,cellular developmental process,BP,e,451,3765,1726,20413,1.6666758098648986e-16,5.888825408889892e-14
GO:0007186,G protein-coupled receptor signaling pathway,BP,e,201,3765,631,20413,1.7894172217587963e-16,6.111754520917168e-14
GO:0036211,protein modification process,BP,p,141,3765,1342,20413,1.7702982088118492e-16,6.111754520917168e-14
GO:0043226,organelle,CC,p,1898,3765,11521,20413,1.827707230446456e-16,6.140197421891677e-14
GO:0008380,RNA splicing,BP,p,7,3765,278,20413,2.484996397219576e-16,8.213714704551741e-14
GO:0071826,protein-RNA complex organization,BP,p,3,3765,223,20413,4.728892043210107e-16,1.5142060100235115e-13
