GO_ID,Python_Name,Namespace,Enrichment,Study_Count,Study_Total,Population_Count,Population_Total,P_Value,Python_FDR,R_Name,R_Adjusted_P
GO:0030312,external encapsulating structure,CC,e,201,3765,519,20413,7.715533736107956e-28,6.081324340540783e-25,external encapsulating structure,1.66813732387722e-28
GO:0031012,extracellular matrix,CC,e,184,3765,477,20413,2.3387752613567364e-25,1.6527076355511586e-22,extracellular matrix,2.05359414345716e-28
GO:1901342,regulation of vasculature development,BP,e,109,3765,282,20413,1.5793657621113724e-15,4.690716313470777e-13,regulation of vasculature development,2.8351014537223403e-10
GO:0045765,regulation of angiogenesis,BP,e,106,3765,274,20413,2.6748298443285403e-15,7.308705066643302e-13,regulation of angiogenesis,5.116022538829471e-10
GO:0003018,vascular process in circulatory system,BP,e,94,3765,234,20413,6.4576695984501604e-15,1.6542127885129894e-12,vascular process in circulatory system,1.83963743703811e-13
GO:0009897,external side of plasma membrane,CC,e,126,3765,354,20413,1.3796928375724922e-14,3.1415605911525648e-12,external side of plasma membrane,1.31535483334613e-13
GO:0005201,extracellular matrix structural constituent,MF,e,74,3765,170,20413,3.5118726946179916e-14,7.575663908505947e-12,extracellular matrix structural constituent,3.23595284315931e-13
GO:0030198,extracellular matrix organization,BP,e,82,3765,209,20413,1.9539407995158333e-12,3.6073971895926103e-10,extracellular matrix organization,9.08856984368976e-13
GO:0043062,extracellular structure organization,BP,e,82,3765,210,20413,2.352769347088129e-12,4.1515419511900325e-10,extracellular structure organization,9.08856984368976e-13
GO:0045229,external encapsulating structure organization,BP,e,82,3765,211,20413,2.928715599121611e-12,5.04354359435287e-10,external encapsulating structure organization,9.08856984368976e-13
GO:0050678,regulation of epithelial cell proliferation,BP,e,92,3765,253,20413,1.3526259098615286e-11,2.1322586746763315e-09,regulation of epithelial cell proliferation,5.9173076693928e-09
GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,BP,e,80,3765,210,20413,1.9074513897277435e-11,2.9613182825523213e-09,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,2.45910788454305e-08
GO:0005125,cytokine activity,MF,e,61,3765,144,20413,2.943913540214427e-11,4.4688607540455e-09,cytokine activity,0.0011995641377028
GO:0019199,transmembrane receptor protein kinase activity,MF,e,38,3765,78,20413,1.1446451243478263e-09,1.404623504985629e-07,transmembrane receptor protein kinase activity,5.958029546856951e-09
GO:0042391,regulation of membrane potential,BP,e,118,3765,380,20413,1.9715853028026934e-09,2.3490521866474187e-07,regulation of membrane potential,1.21625662701662e-07
GO:0042383,sarcolemma,CC,e,47,3765,109,20413,2.454607680239891e-09,2.8744157252089193e-07,sarcolemma,2.8442972752795e-09
GO:0016324,apical plasma membrane,CC,e,118,3765,383,20413,3.4138220747384806e-09,3.9083494847829993e-07,apical plasma membrane,7.49036129851183e-10
GO:0045121,membrane raft,CC,e,95,3765,288,20413,3.4879488357369654e-09,3.971029749486535e-07,membrane raft,4.29379643579081e-10
