ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0006260,DNA replication,5/5,290/18860,0.0172413793103448,65.0344827586207,17.8952601789451,8.307265818480301e-10,3.70774006897567e-07,9.25800457859287e-08,TP53/BRCA1/BRCA2/CDKN1A/EGFR,5
BP,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,3/5,48/18860,0.0625,235.75,26.5179409164854,1.54164729512916e-07,7.64894234891008e-06,1.90989502959322e-06,TP53/BRCA2/CDKN1A,3
BP,GO:0010332,response to gamma radiation,3/5,53/18860,0.0566037735849057,213.509433962264,25.2282688846406,2.08720182967634e-07,9.26526023225375e-06,2.31347991111354e-06,TP53/BRCA2/CDKN1A,3
BP,GO:0072332,intrinsic apoptotic signaling pathway by p53 class mediator,3/5,88/18860,0.0340909090909091,128.590909090909,19.5360545454511,9.74996925931088e-07,2.41874237394443e-05,6.03945464240714e-06,TP53/BRCA2/CDKN1A,3
BP,GO:0001701,in utero embryonic development,4/5,429/18860,0.0093240093240093,35.1701631701632,11.6582217903586,1.29651504531174e-06,2.88362829043473e-05,7.20024689410874e-06,TP53/BRCA2/CDKN1A/EGFR,4
BP,GO:0044772,mitotic cell cycle phase transition,4/5,461/18860,0.0086767895878525,32.7288503253796,11.2315256443026,1.72812471091666e-06,3.71546812847081e-05,9.27730107965784e-06,TP53/BRCA1/CDKN1A/EGFR,4
BP,GO:0048144,fibroblast proliferation,3/5,114/18860,0.0263157894736842,99.2631578947368,17.1364122087119,2.13207600923269e-06,4.29746570610963e-05,1.07305141254145e-05,TP53/CDKN1A/EGFR,3
BP,GO:0016049,cell growth,4/5,499/18860,0.0080160320641282,30.2364729458918,10.7784956361171,2.37078135859871e-06,4.49751169498874e-05,1.12300169617834e-05,TP53/BRCA1/CDKN1A/EGFR,4
BP,GO:0006275,regulation of DNA replication,3/5,120/18860,0.025,94.3,16.6962345670946,2.48887690128716e-06,4.5866445752292e-05,1.1452576417953e-05,TP53/CDKN1A/EGFR,3
BP,GO:0010225,response to UV-C,2/5,15/18860,0.133333333333333,502.933333333333,31.6682934613122,5.89603490679396e-06,9.75113465354387e-05,2.43479984005257e-05,TP53/BRCA2,2
BP,GO:0044839,cell cycle G2/M phase transition,3/5,162/18860,0.0185185185185185,69.8518518518518,14.331994050673,6.14321375477214e-06,9.90593217957007e-05,2.4734518538951e-05,TP53/BRCA1/CDKN1A,3
BP,GO:0072593,reactive oxygen species metabolic process,3/5,237/18860,0.0126582278481013,47.746835443038,11.7932262863319,1.92332598840714e-05,0.000243244169122,6.07366101602253e-05,TP53/BRCA1/CDKN1A,3
BP,GO:0071480,cellular response to gamma radiation,2/5,28/18860,0.0714285714285714,269.428571428571,23.1467807022124,2.11964651103535e-05,0.000256843134653,6.41321902928135e-05,TP53/CDKN1A,2
BP,GO:0000082,G1/S transition of mitotic cell cycle,3/5,246/18860,0.0121951219512195,46.0,11.5688789419687,2.15031461570022e-05,0.000256843134653,6.41321902928135e-05,TP53/CDKN1A/EGFR,3
BP,GO:0010165,response to X-ray,2/5,30/18860,0.0666666666666667,251.466666666667,22.3571513792256,2.43875801207837e-05,0.0002859998032346,7.14124355689933e-05,TP53/BRCA2,2
BP,GO:0044843,cell cycle G1/S phase transition,3/5,275/18860,0.0109090909090909,41.1490909090909,10.921740268505,3.00085743857455e-05,0.0003395707101544,8.47887697325773e-05,TP53/CDKN1A/EGFR,3
BP,GO:2000378,negative regulation of reactive oxygen species metabolic process,2/5,44/18860,0.0454545454545455,171.454545454545,18.4332679869676,5.29572143311748e-05,0.0005577440390924,0.0001392653414625,TP53/BRCA1,2
BP,GO:0006302,double-strand break repair,3/5,334/18860,0.0089820359281437,33.8802395209581,9.87298415820341,5.36126053081134e-05,0.0005577440390924,0.0001392653414625,TP53/BRCA1/BRCA2,3
BP,GO:0031297,replication fork processing,2/5,59/18860,0.0338983050847458,127.864406779661,15.8930184735063,9.56295647064806e-05,0.0009206129736668,0.0002298715381004,BRCA1/BRCA2,2
BP,GO:0045005,DNA-templated DNA replication maintenance of fidelity,2/5,66/18860,0.0303030303030303,114.30303030303,15.0153322292299,0.0001197971591684,0.0011198430096177,0.0002796180831848,BRCA1/BRCA2,2
BP,GO:0072594,establishment of protein localization to organelle,3/5,478/18860,0.006276150627615,23.673640167364,8.17654594680978,0.0001557546775214,0.001339490226684,0.0003344626759406,TP53/BRCA2/CDKN1A,3
BP,GO:0061614,miRNA transcription,2/5,76/18860,0.0263157894736842,99.2631578947368,13.9776620967896,0.0001590020145744,0.0013494249921125,0.0003369433272839,TP53/EGFR,2
BP,GO:0050673,epithelial cell proliferation,3/5,496/18860,0.0060483870967741,22.8145161290323,8.01740540524473,0.0001738074890551,0.0014559198758517,0.0003635344610449,BRCA2/CDKN1A/EGFR,3
BP,GO:0051298,centrosome duplication,2/5,80/18860,0.025,94.3,13.6178926820763,0.0001762220434128,0.0014572207436058,0.0003638592799211,BRCA1/BRCA2,2
BP,GO:0010586,miRNA metabolic process,2/5,108/18860,0.0185185185185185,69.8518518518518,11.6851628751606,0.0003212608640272,0.002466824491638,0.0006159512806538,TP53/EGFR,2
BP,GO:0071482,cellular response to light stimulus,2/5,124/18860,0.0161290322580645,60.8387096774194,10.8864351009434,0.0004232898705955,0.0031381835233806,0.0007835856043692,TP53/CDKN1A,2
BP,GO:0072089,stem cell proliferation,2/5,131/18860,0.0152671755725191,57.587786259542,10.5835684145066,0.0004722829029283,0.0034616190044177,0.000864345504163,TP53/BRCA2,2
BP,GO:0062014,negative regulation of small molecule metabolic process,2/5,133/18860,0.0150375939849624,56.7218045112782,10.5014181462093,0.000486766529049,0.0035276900138946,0.0008808430389651,TP53/BRCA1,2
BP,GO:0045931,positive regulation of mitotic cell cycle,2/5,138/18860,0.0144927536231884,54.6666666666667,10.3038400439457,0.0005239184184137,0.0037547486652982,0.0009375382224245,BRCA2/EGFR,2
BP,GO:0051053,negative regulation of DNA metabolic process,2/5,139/18860,0.0143884892086331,54.273381294964,10.2655968612879,0.0005315102831751,0.0037672981609665,0.0009406717562266,TP53/CDKN1A,2
BP,GO:0045739,positive regulation of DNA repair,2/5,143/18860,0.013986013986014,52.7552447552448,10.1166174842842,0.0005624154484071,0.0039430213502459,0.0009845487826807,BRCA1/EGFR,2
BP,GO:0000086,G2/M transition of mitotic cell cycle,2/5,145/18860,0.0137931034482759,52.0275862068965,10.0444271791751,0.0005781904098077,0.0040100302615701,0.0010012805059489,BRCA1/CDKN1A,2
BP,GO:0007098,centrosome cycle,2/5,150/18860,0.0133333333333333,50.2933333333333,9.87024622992181,0.0006185669627237,0.0042444222442211,0.0010598067782388,BRCA1/BRCA2,2
BP,GO:0031023,microtubule organizing center organization,2/5,163/18860,0.0122699386503067,46.2822085889571,9.45510820175395,0.0007298112587923,0.0049550343360112,0.0012372423556258,BRCA1/BRCA2,2
BP,GO:0000723,telomere maintenance,2/5,166/18860,0.0120481927710843,45.4457831325301,9.3662242525673,0.0007567652685046,0.005032098950366,0.0012564849276311,TP53/BRCA2,2
BP,GO:0043086,negative regulation of catalytic activity,2/5,166/18860,0.0120481927710843,45.4457831325301,9.3662242525673,0.0007567652685046,0.005032098950366,0.0012564849276311,TP53/CDKN1A,2
BP,GO:0071897,DNA biosynthetic process,2/5,168/18860,0.0119047619047619,44.9047619047619,9.30828013602982,0.0007750012204259,0.0051007733385178,0.0012736325104744,TP53/CDKN1A,2
BP,GO:0006261,DNA-templated DNA replication,2/5,171/18860,0.0116959064327485,44.1169590643275,9.22325488921183,0.0008027547180315,0.0052300686174782,0.0013059167661757,BRCA1/BRCA2,2
BP,GO:0010563,negative regulation of phosphorus metabolic process,2/5,174/18860,0.0114942528735632,43.3563218390805,9.14041165714405,0.0008309872813559,0.005306799965095,0.0013250761234753,TP53/CDKN1A,2
BP,GO:0045936,negative regulation of phosphate metabolic process,2/5,174/18860,0.0114942528735632,43.3563218390805,9.14041165714405,0.0008309872813559,0.005306799965095,0.0013250761234753,TP53/CDKN1A,2
BP,GO:0006606,protein import into nucleus,2/5,178/18860,0.0112359550561798,42.3820224719101,9.0331889280909,0.0008693751001762,0.0054975190158206,0.0013726975265941,TP53/CDKN1A,2
BP,GO:0051170,import into nucleus,2/5,184/18860,0.0108695652173913,41.0,8.87887688863354,0.0009285497121887,0.0058147045083667,0.0014518968417464,TP53/CDKN1A,2
BP,GO:0032200,telomere organization,2/5,193/18860,0.0103626943005181,39.0880829015544,8.66087097097192,0.001020888189013,0.0063314700183981,0.0015809300902732,TP53/BRCA2,2
BP,GO:0000724,double-strand break repair via homologous recombination,2/5,195/18860,0.0102564102564103,38.6871794871795,8.61445900549537,0.0010419896147516,0.0064007933477599,0.0015982397098445,BRCA1/BRCA2,2
BP,GO:0009267,cellular response to starvation,2/5,196/18860,0.0102040816326531,38.4897959183673,8.5915161957786,0.0010526195549935,0.0064050906884039,0.0015993127300298,TP53/CDKN1A,2
BP,GO:0000725,recombinational repair,2/5,201/18860,0.0099502487562189,37.5323383084577,8.47934647197952,0.001106560836325,0.0066703900881273,0.0016655563989938,BRCA1/BRCA2,2
BP,GO:0071356,cellular response to tumor necrosis factor,2/5,226/18860,0.0088495575221238,33.3805309734513,7.97473396556637,0.0013959896428326,0.0083371603669171,0.0020817389410662,TP53/BRCA1,2
BP,GO:0001934,positive regulation of protein phosphorylation,2/5,231/18860,0.0086580086580086,32.6580086580087,7.88362351410192,0.0014578047538538,0.0086264593232636,0.0021539751553804,CDKN1A/EGFR,2
BP,GO:0042594,response to starvation,2/5,235/18860,0.0085106382978723,32.1021276595745,7.81280444615775,0.0015081963646685,0.0088378051829106,0.0022067469489764,TP53/CDKN1A,2
BP,GO:0006282,regulation of DNA repair,2/5,236/18860,0.0084745762711864,31.9661016949153,7.7953769350659,0.0015209246128729,0.0088378051829106,0.0022067469489764,BRCA1/EGFR,2
BP,GO:0034612,response to tumor necrosis factor,2/5,244/18860,0.0081967213114754,30.9180327868852,7.65977170379175,0.001624624886263,0.0093560986753538,0.0023361617255473,TP53/BRCA1,2
BP,GO:0042327,positive regulation of phosphorylation,2/5,254/18860,0.0078740157480315,29.7007874015748,7.49920500024237,0.0017589261370101,0.010039888127182,0.002506899850606,CDKN1A/EGFR,2
BP,GO:0031669,cellular response to nutrient levels,2/5,282/18860,0.0070921985815602,26.7517730496454,7.09517767199692,0.0021624693274256,0.012235023826224,0.0030550120692162,TP53/CDKN1A,2
