GO_ID,Name,Namespace,Enrichment,Study_Count,Study_Total,Population_Count,Population_Total,P_Value,FDR
GO:0071479,cellular response to ionizing radiation,BP,e,4,5,62,20362,3.8864229593362785e-10,8.099694089552738e-06
GO:0009314,response to radiation,BP,e,5,5,354,20362,1.544567628840164e-09,1.609516697632893e-05
GO:0010212,response to ionizing radiation,BP,e,4,5,115,20362,4.8063667552648305e-09,2.8096436702778025e-05
GO:1901987,regulation of cell cycle phase transition,BP,e,5,5,454,20362,5.3925313953798805e-09,2.8096436702778025e-05
GO:0071478,cellular response to radiation,BP,e,4,5,151,20362,1.4448289080183356e-08,6.022335854402027e-05
GO:0010564,regulation of cell cycle process,BP,e,5,5,730,20362,5.84472303816257e-08,0.00020301645473057685
GO:0031625,ubiquitin protein ligase binding,MF,e,4,5,291,20362,2.0205598220567538e-07,0.0004726461822578143
GO:0044773,mitotic DNA damage checkpoint signaling,BP,e,3,5,64,20362,2.9482272296682433e-07,0.0004726461822578143
GO:0048145,regulation of fibroblast proliferation,BP,e,3,5,63,20362,2.8102365573956456e-07,0.0004726461822578143
GO:0044389,ubiquitin-like protein ligase binding,MF,e,4,5,311,20362,2.6374019187783875e-07,0.0004726461822578143
GO:0071214,cellular response to abiotic stimulus,BP,e,4,5,303,20362,2.3758583072092055e-07,0.0004726461822578143
GO:0009628,response to abiotic stimulus,BP,e,5,5,950,20362,2.1885194334116477e-07,0.0004726461822578143
GO:0104004,cellular response to environmental stimulus,BP,e,4,5,303,20362,2.3758583072092055e-07,0.0004726461822578143
GO:0044774,mitotic DNA integrity checkpoint signaling,BP,e,3,5,67,20362,3.3891019486400995e-07,0.00048085502375908316
GO:0051726,regulation of cell cycle,BP,e,5,5,1041,20362,3.4608825662810074e-07,0.00048085502375908316
GO:1901990,regulation of mitotic cell cycle phase transition,BP,e,4,5,346,20362,4.0428512260354397e-07,0.0005266066400112788
GO:0001558,regulation of cell growth,BP,e,4,5,368,20362,5.174246281537743e-07,0.0006343321573736947
GO:0000077,DNA damage checkpoint signaling,BP,e,3,5,92,20362,8.86792883468673e-07,0.001026758360242812
GO:0031570,DNA integrity checkpoint signaling,BP,e,3,5,103,20362,1.2478319789873894e-06,0.0013133360573216028
GO:0090400,stress-induced premature senescence,BP,e,2,5,8,20362,1.3499338652587058e-06,0.0013133360573216028
GO:1902749,regulation of cell cycle G2/M phase transition,BP,e,3,5,108,20362,1.4399591840612264e-06,0.0013133360573216028
GO:0051052,regulation of DNA metabolic process,BP,e,4,5,480,20362,1.4967138767475438e-06,0.0013133360573216028
GO:0007093,mitotic cell cycle checkpoint signaling,BP,e,3,5,110,20362,1.5220029405889736e-06,0.0013133360573216028
GO:1903047,mitotic cell cycle process,BP,e,4,5,486,20362,1.5728304078553287e-06,0.0013133360573216028
GO:0040008,regulation of growth,BP,e,4,5,487,20362,1.5857923965824324e-06,0.0013133360573216028
GO:0007346,regulation of mitotic cell cycle,BP,e,4,5,491,20362,1.6384404534504904e-06,0.0013133360573216028
GO:0009411,response to UV,BP,e,3,5,129,20362,2.4613056054169142e-06,0.001899854448981256
GO:0042770,signal transduction in response to DNA damage,BP,e,3,5,138,20362,3.0158616797158667e-06,0.002244770473819942
GO:2000377,regulation of reactive oxygen species metabolic process,BP,e,3,5,140,20362,3.1494192828840933e-06,0.0022633464577443926
GO:0000075,cell cycle checkpoint signaling,BP,e,3,5,147,20362,3.647721536290027e-06,0.00244795978514726
GO:0097193,intrinsic apoptotic signaling pathway,BP,e,3,5,148,20362,3.722915957278216e-06,0.00244795978514726
GO:0090399,replicative senescence,BP,e,2,5,13,20362,3.7586830346294477e-06,0.00244795978514726
GO:0030308,negative regulation of cell growth,BP,e,3,5,152,20362,4.0339868427606535e-06,0.00254764605424166
GO:0000800,lateral element,CC,e,2,5,14,20362,4.384699331345362e-06,0.0026109005361305343
GO:0031571,mitotic G1 DNA damage checkpoint signaling,BP,e,2,5,14,20362,4.384699331345362e-06,0.0026109005361305343
GO:0044819,mitotic G1/S transition checkpoint signaling,BP,e,2,5,15,20362,5.058771331593334e-06,0.0029082832071669193
GO:1901991,negative regulation of mitotic cell cycle phase transition,BP,e,3,5,165,20362,5.163210914311982e-06,0.0029082832071669193
GO:2000045,regulation of G1/S transition of mitotic cell cycle,BP,e,3,5,176,20362,6.268309249364376e-06,0.003437837712263236
