GO_ID,Name,Namespace,Enrichment,Study_Count,Study_Total,Population_Count,Population_Total,P_Value,FDR
GO:0010564,regulation of cell cycle process,BP,e,5,5,730,20362,5.84472303816257e-08,0.0002030164547305
GO:0009628,response to abiotic stimulus,BP,e,5,5,950,20362,2.1885194334116477e-07,0.0004726461822578
GO:0051726,regulation of cell cycle,BP,e,5,5,1041,20362,3.4608825662810074e-07,0.000480855023759
GO:0090400,stress-induced premature senescence,BP,e,2,5,8,20362,1.3499338652587058e-06,0.0013133360573216
GO:1903047,mitotic cell cycle process,BP,e,4,5,486,20362,1.5728304078553289e-06,0.0013133360573216
GO:0040008,regulation of growth,BP,e,4,5,487,20362,1.5857923965824324e-06,0.0013133360573216
GO:0007346,regulation of mitotic cell cycle,BP,e,4,5,491,20362,1.6384404534504904e-06,0.0013133360573216
GO:0006974,DNA damage response,BP,e,4,5,733,20362,8.09186323322497e-06,0.004216063041091
GO:0019899,enzyme binding,MF,e,5,5,2118,20362,1.212520161696758e-05,0.0058767750441679
GO:0022402,cell cycle process,BP,e,4,5,837,20362,1.3713439916783132e-05,0.0062130826370799
GO:0097190,apoptotic signaling pathway,BP,e,3,5,237,20362,1.530428395170636e-05,0.0067863102518619
GO:0051716,cellular response to stimulus,BP,e,5,5,2472,20362,2.627819598318178e-05,0.0101419237497313
GO:0010604,positive regulation of macromolecule metabolic process,BP,e,5,5,3136,20362,8.641833139422539e-05,0.0281413194466726
GO:0006281,DNA repair,BP,e,3,5,430,20362,9.06165866464847e-05,0.0282087644926923
GO:0009893,positive regulation of metabolic process,BP,e,5,5,3413,20362,0.0001319834715289,0.0359736143359175
GO:0033554,cellular response to stress,BP,e,4,5,1491,20362,0.0001348430432874,0.0360069918695026
GO:0042127,regulation of cell population proliferation,BP,e,4,5,1505,20362,0.0001399028056239,0.0360508603533445
GO:0080135,regulation of cellular response to stress,BP,e,3,5,515,20362,0.0001548679207398,0.0393610040992696
GO:0035556,intracellular signal transduction,BP,e,4,5,1606,20362,0.0001806907936782,0.0437107085353629
GO:0045893,positive regulation of DNA-templated transcription,BP,e,4,5,1607,20362,0.0001811340787873,0.0437107085353629
GO:1902680,positive regulation of RNA biosynthetic process,BP,e,4,5,1610,20362,0.0001824687703361,0.0437107085353629
